Matrix Size;Round;Iteration; TimeElapsed(sec); Maximum RSS (kbytes)
10;1;1;0,000905355;1212
10;1;2;0,002305307;1148
10;1;3;0,003154708;1148
10;1;4;0,001657169;1212
10;1;5;0,002271001;1212
100;1;1;0,008825647;1388
100;1;2;0,003060851;1360
100;1;3;0,003079591;1412
100;1;4;0,003557251;1368
100;1;5;0,002382711;1360
300;1;1;0,034837546;3208
300;1;2;0,038348531;3188
300;1;3;0,025808357;3316
300;1;4;0,030667041;3316
300;1;5;0,022738944;3188
500;1;1;0,132759030;6984
500;1;2;0,117526509;6992
500;1;3;0,127488533;6992
500;1;4;0,131925953;7032
500;1;5;0,141809194;7020
1000;1;1;1,556283736;24656
1000;1;2;1,491726019;24584
1000;1;3;1,543739824;24708
1000;1;4;1,552480114;24704
1000;1;5;1,678680872;24692
